LJP006_A549_24H:M08
LJP008_HEPG2_24H:G15
HOG001_A549_6H:BRD-A75409952-001-05-7:0.0412
LJP008_A549_24H:A03
LJP009_HEPG2_24H:A03
CPC015_A549_6H:BRD-K57569181-001-16-8:10
CPC015_HEPG2_6H:BRD-K45158365-001-05-6:10
CPC011_A549_6H:BRD-K25433859-003-19-7:10
CPC020_A549_6H:BRD-A29426959-050-11-6:10
LJP006_A549_24H:C20
LJP008_HEPG2_24H:G02
CPC011_A549_24H:BRD-K31920458-001-17-8:10
CPC015_A549_6H:BRD-A97674275-001-04-3:10
CPC016_A549_6H:BRD-K93332168-001-03-2:10
CPC004_HEPG2_6H:BRD-K82562631-236-03-8:10
LJP005_HEPG2_24H:C01
LJP009_A549_24H:B09
CPC015_HEPG2_6H:BRD-K82562631-236-03-8:10
CPC018_A549_24H:BRD-K16195444-001-01-7:10
CPC006_A549_24H:BRD-K71799949-001-20-8:96
CPC011_A549_6H:BRD-K32398298-001-02-2:10
DOS042_A549_24H:BRD-K81418486:0.1
LJP005_A549_24H:M02
HOG002_A549_24H:BRD-K27305650-001-10-9:1.1111
PCLB002_A549_24H:BRD-K43797669:0.04
PCLB003_HEPG2_24H:BRD-K18910433-001-26-7:0.04
LJP005_A549_24H:H18
LJP005_HEPG2_24H:M21
CPC018_A549_6H:BRD-K36055864-001-09-3:10
DOS033_A549_24H:BRD-K81418486:0.1
HOG001_A549_6H:BRD-A84481105-003-17-2:0.0015
LJP005_A549_24H:B15
CPC013_A549_24H:BRD-K64881305-001-01-1:10
HOG002_A549_24H:BRD-K81418486-001-32-7:10
CPC020_A549_6H:BRD-K08806317-001-02-1:10
CPC016_HEPG2_6H:BRD-K90027355-001-03-4:10
CPC005_A549_24H:BRD-A31159102-003-13-0:10
CVD001_HEPG2_24H:BRD-K47869605-001-18-9:2.5
CPC010_HEPG2_6H:BRD-K71103788-003-08-8:10
CPC016_A549_6H:BRD-K90382497-001-02-4:10
HOG003_A549_24H:BRD-K01976263-003-04-5:1.11
CPC017_A549_6H:BRD-K82823804-001-01-7:10
LJP009_A549_24H:F17
CPC014_A549_6H:BRD-K01493881-001-20-3:10
LJP005_HEPG2_24H:J23
CPC013_HEPG2_6H:BRD-K05104363-001-02-7:10
CPC018_A549_24H:BRD-K52989797-001-01-1:10
LJP005_HEPG2_24H:H24
LJP008_HEPG2_24H:G05
CPC017_HEPG2_6H:BRD-K20287671-001-03-6:10
CPC004_HEPG2_6H:BRD-K33818169-003-01-2:10
CPC017_HEPG2_6H:BRD-K68620903-001-03-1:10
LPROT003_A549_6H:G02
HOG001_A549_24H:BRD-K81418486-001-32-7:10
LJP006_A549_24H:N16
CPC017_A549_24H:BRD-K94176593-001-02-9:10
CPC018_A549_6H:BRD-A15131297-003-01-9:10
PCLB002_A549_24H:BRD-K81839095:10
PCLB002_HEPG2_24H:BRD-K28578425:0.04
LJP007_A549_24H:E13
LJP007_HEPG2_24H:P23
CPC011_A549_6H:BRD-A09533288-311-04-6:10
HOG002_A549_6H:BRD-A75409952-001-01-6:0.3704
LJP007_HEPG2_24H:I16
LJP009_A549_24H:G16
LJP007_HEPG2_24H:M21
CPC015_A549_24H:BRD-K59632282-052-02-3:10
CPC011_A549_6H:BRD-K37991163-050-13-5:10
CPC010_HEPG2_6H:BRD-K93034159-001-20-9:10
HOG001_A549_24H:BRD-K81418486-001-32-7:0.013
PCLB002_HEPG2_24H:BRD-K98948170:3.7
HOG003_A549_24H:BRD-A91699651-316-06-7:0.013
CPC011_A549_24H:BRD-K06388322-001-05-8:10
HOG003_A549_24H:BRD-K87909389-001-01-2:0.3704
CPC006_A549_24H:BRD-K81418486:10
LJP006_A549_24H:H15
PCLB003_A549_24H:BRD-K95309561-001-20-5:3.33
RAD001_A549_6H:BRD-K27305650-001-10-9:0.0046
CVD001_HEPG2_6H:BRD-K59469039-001-04-9:10
CPC011_A549_24H:BRD-K66198023-237-01-9:10
HOG001_A549_6H:BRD-K24132293-001-16-0:0.0045
LJP005_HEPG2_24H:J02
PCLB002_A549_24H:BRD-K98948170:0.12
LJP007_HEPG2_24H:B19
CPC011_A549_24H:BRD-A49172652-001-23-0:10
CPC020_A549_6H:BRD-A80017228-001-21-6:10
CPC016_A549_24H:BRD-A11678676-001-03-4:10
LJP005_A549_24H:M01
PCLB002_HEPG2_24H:BRD-K81839095:3.33
PCLB002_HEPG2_24H:BRD-K28578425:1.11
CPC017_HEPG2_6H:BRD-K81418486:10
LJP005_A549_24H:K20
CPC007_A549_6H:BRD-K81418486:10
CPC014_A549_24H:BRD-M16762496-001-01-9:10
LJP009_A549_24H:G17
LJP006_A549_24H:D05
LJP006_A549_24H:I15
LJP005_A549_24H:K06
LJP008_HEPG2_24H:N11
CPC015_HEPG2_6H:BRD-A29426959-050-07-4:10
CPC018_A549_6H:BRD-K67847053-015-08-8:10
LPROT003_A549_6H:C20
HOG001_A549_24H:BRD-K24132293-001-16-0:0.0412
CPC006_A549_24H:BRD-K01976263-003-04-5:0.63
LJP007_A549_24H:O08
CPC006_A549_24H:BRD-A26711594-003-06-4:10
HOG001_A549_6H:BRD-K81418486-001-32-7:0.3704
CPC018_A549_24H:BRD-K44276885-001-01-7:10
LJP009_HEPG2_24H:J19
CPC017_A549_24H:BRD-K99107520-001-09-2:10
HOG002_A549_6H:BRD-A75409952-001-01-6:1.11
DOS045_A549_24H:BRD-K81418486:0.5
CPC014_A549_6H:BRD-K71879491-001-22-6:10
HOG003_A549_24H:BRD-K94920105-001-01-3:0.013
CPC017_A549_6H:BRD-A03359064-001-01-5:10
CPC014_A549_24H:BRD-K71879491-001-22-6:10
CPC014_HEPG2_6H:BRD-K91900765-001-01-9:10
CPC005_A549_24H:BRD-K81376179-001-01-4:10
CPC005_A549_6H:BRD-A33168282-003-06-5:10
CPC011_A549_24H:BRD-K82795137-001-20-5:10
RAD001_A549_6H:BRD-K57545991-050-16-5:0.1235
LJP006_HEPG2_24H:I17
CPC011_A549_24H:BRD-K15916496-001-23-8:10
CPC018_A549_6H:BRD-K17561142-003-16-8:10
CPC018_A549_6H:BRD-A28970875-300-03-1:10
LJP008_HEPG2_24H:N08
LJP005_A549_24H:C12
PCLB003_A549_24H:BRD-K24576554-001-01-4:0.12
CPC015_HEPG2_6H:BRD-A97674275-001-04-3:10
HOG002_A549_6H:BRD-K27305650-001-10-9:3.3333
LJP008_HEPG2_24H:I13
CPC016_A549_24H:BRD-K82731415-001-05-4:10
CPC005_A549_24H:BRD-A95869247-001-14-5:10
CPC014_A549_24H:BRD-K81418486:10
LJP007_A549_24H:P07
PCLB002_HEPG2_24H:BRD-K98948170:33.33
LJP007_A549_24H:O11
CPC017_A549_24H:BRD-K96119599-001-05-4:10
CPC018_A549_6H:BRD-K15025317-001-11-0:10
LJP007_A549_24H:M20
HOG003_A549_24H:BRD-K48692744-001-01-2:0.6667
PCLB001_HEPG2_24H:BRD-K98948170-001-07-7:0.63
LJP009_A549_24H:B24
LJP007_A549_24H:E14
HOG003_A549_6H:BRD-K81418486-001-32-7:0.0045
LJP007_HEPG2_24H:F05
HOG001_A549_24H:BRD-K08703257-001-06-3:0.013
LJP005_A549_24H:M23
LJP006_HEPG2_24H:E13
LJP006_A549_24H:H14
