C=C[C@H]1C[N@@]2CC[C@H]1C[C@H]2[C@H](O)c3ccnc4ccccc34 {A2=R;A7=S;A9=S;A10=R},KMPWYEUPVWOPIM-KODHJQJWSA-N
CN1C(=O)CC[C@H]1c2cccnc2 {A6=S},UIKROCXWUNQSPJ-VIFPVBQESA-N
Cc1nnc2[C@@H](CC(=O)OC(C)(C)C)N=C(c3c(C)c(C)sc3n12)c4ccc(Cl)cc4 {A5=R},DNVXATUJJDPFDM-QGZVFWFLSA-N
CCCN1CCC[C@@H]2Cc3n[nH]cc3C[C@@H]12 {A7=R;A15=R},FTSUPYGMFAPCFZ-ZWNOBZJWSA-N
CC1=C(O)C(=O)[C@@H]2O[C@@H]2C1=O {A6=R;A8=S},ATFNSNUJZOYXFC-RQJHMYQMSA-N
Cc1nnc2[C@H](CC(=O)OC(C)(C)C)N=C(c3c(C)c(C)sc3n12)c4ccc(Cl)cc4 {A5=S},DNVXATUJJDPFDM-KRWDZBQOSA-N
C[C@@H]1O[C@H](C[N+](C)(C)C)C[C@H]1O {A1=S;A3=S;A10=R},UQOFGTXDASPNLL-XHNCKOQMSA-N
COc1cc2CC[N+](C)(C)[C@@H]3Cc4ccc(O)c(c4)Oc5cc6c(cc5OC)CCN(C)[C@H]6Cc7ccc(cc7)Oc(c1O)c23 {A10=R;A32=S},JFJZZMVDLULRGK-URLMMPGGSA-O
CC(=O)C1=C(O)[C@]2(C)C(=CC1=O)Oc3c2c(O)c(C)c(O)c3C(C)=O {A6=R},ICTZCAHDGHPRQR-GOSISDBHSA-N
CC(/C=C/C1(O)C(C)=CC(=O)CC1(C)C)=C/C(=O)O,JLIDBLDQVAYHNE-LXGGSRJLSA-N
COc1ccc(cc1OC2CCCC2)[C@@H]3CNC(=O)C3 {A14=R},HJORMJIFDVBMOB-LBPRGKRZSA-N
N[C@@H](C(=O)O)c1ccc(C(=O)O)c(c1)C(=O)O {A1=R},IJVMOGKBEVRBPP-SSDOTTSWSA-N
CC[C@H](CO)Nc1nc2c(ncn2C(C)C)c(n1)NCc3ccc(cc3)c4ccccn4 {A2=R},HOCBJBNQIQQQGT-LJQANCHMSA-N
CC[C@H](CO)Nc1nc2c(ncn2C(C)C)c(n1)Nc3cccc(c3)c4ccccn4 {A2=R},LWANFAFTTOKZAX-QGZVFWFLSA-N
O=C([C@@H](Cc1cccc(c1)C(F)(F)F)NS(=O)(=O)c2cc(F)c3CNCCc3c2)N4CCCC4 {A2=R},JCKGSPAAPQRPBW-OAQYLSRUSA-N
CC(C)NC[C@H](O)COc1cccc2ccccc12 {A5=S},AQHHHDLHHXJYJD-AWEZNQCLSA-N
COc1ccc(cc1OC2CCCC2)[C@H]3CNC(=O)C3 {A14=S},HJORMJIFDVBMOB-GFCCVEGCSA-N
O=C([C@H](Cc1cccc(c1)C(F)(F)F)NS(=O)(=O)c2cc(F)c3CNCCc3c2)N4CCCC4 {A2=S},JCKGSPAAPQRPBW-NRFANRHFSA-N
O=C/1Nc2ccccc2C/1=C\C3=CC=CC3.C1=CCC=C1,OUNSQCAXDCKZNZ-NBYYMMLRSA-N
BrC1C(Br)C(Br)C(Br)C(Br)C1Br,QFQZKISCBJKVHI-UHFFFAOYSA-N
C/C=C1\CN2CC[C@]34c5cc(ccc5N6C(=O)C(O)OC[C@@H]([C@@H]36)[C@H]1C[C@H]24)OC {A7=R;A21=R;A22=S;A23=R;A25=S},YWAATWSJCWDKMD-FNBQLRDISA-N
CO[C@H]1C=CC=C(C)C(=O)NC2=CC(=O)C(NCCN(C)C)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)C=C(C)[C@@H]1OC(N)=O)C2=O {A2=S;A24=R;A27=S;A30=R;A32=S;A37=S},KUFRQPKVAWMTJO-LVKYINPESA-N
CC(=O)N1CCN(C)CC1,YSDBJKNOEWSFGA-UHFFFAOYSA-N
OC[C@H]1NC[C@@H](O)[C@@H](O)[C@@H]1O {A2=R;A5=R;A7=R;A9=R},LXBIFEVIBLOUGU-KVTDHHQDSA-N
OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O {A2=R;A5=S;A7=R;A9=R},LXBIFEVIBLOUGU-JGWLITMVSA-N
O=C(O)c1cccc(n1)C(=O)O,WJJMNDUMQPNECX-UHFFFAOYSA-N
C[C@@H](CO)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C {A1=R;A7=R;A9=R;A12=S;A13=S;A18=S;A22=R;A24=S;A27=R},FYHRJWMENCALJY-YSQMORBQSA-N
O=C1C=C(O)C(=O)c2ccccc12,CSFWPUWCSPOLJW-UHFFFAOYSA-N
COC1=C(O)C(=O)c2ccccc2C1=O,JNBVXNSWFXSRGS-UHFFFAOYSA-N
COc1ccc(C(C)=O)c(O)c1,UILPJVPSNHJFIK-UHFFFAOYSA-N
COc1cc2c(cc1O)CC[C@H]3[C@@H]4CC[C@H](O)[C@@]4(C)CC[C@H]23 {A11=R;A12=S;A15=S;A17=S;A21=S},CQOQDQWUFQDJMK-SSTWWWIQSA-N
NC(=O)c1cccc(N)c1,GSCPDZHWVNUUFI-UHFFFAOYSA-N
Nc1nccc2c1ncn2[C@@H]3C=C(CO)[C@@H](O)[C@H]3O {A10=R;A15=R;A17=S},OMKHWTRUYNAGFG-IEBDPFPHSA-N
CC1=C(O)C(=O)C=CO1,XPCTZQVDEJYUGT-UHFFFAOYSA-N
Cn1cnc(N)c2ncnc12,FSASIHFSFGAIJM-UHFFFAOYSA-N
O=C(O)CC[N+](=O)[O-],WBLZUCOIBUDNBV-UHFFFAOYSA-N
O=C(/C=C/c1ccc(cc1)OCc2ccccc2)c3c(O)cc(cc3OCc4ccccc4)OCc5ccccc5,POBAJWKYWOQRCS-DYTRJAOYSA-N
O=C(O)/C(Cc1ccccc1[N+](=O)[O-])=N\Nc2nc(cs2)c3ccc(Cl)c(Cl)c3,KFRKRECSIYXARE-HMAPJEAMSA-N
O=C1NC=Nc2ccccc12,QMNUDYFKZYBWQX-UHFFFAOYSA-N
NC1=NC(=O)N(C=N1)[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O {A8=R;A10=R;A13=S;A15=R},NMUSYJAQQFHJEW-KVTDHHQDSA-N
"O=C1Nc2ccc(F)cc2C1=C3Nc4ccccc4C3=NO {B10,11=x;B19,20=x}",RJIBTAMXAXHIAN-UHFFFAOYSA-N
Cc1ccc(C[N+](C)(C)C)o1,KOWVJDFMEZKDDT-UHFFFAOYSA-N
CN1[C@H]2C[C@@H](O)[C@@H]1CC(=O)C2 {A2=S;A4=R;A6=S},UOHSTKWPZWFYTF-MHSYXAOVSA-N
